Language	Area	Lexifier	First major settlement	End of influence	Conditions of contact	Other languages in contact	Class	Position	Lexifier's Phoneme	Creole's Phoneme	Place Stability	Manner Stability	Example_converted	Reference	Gloss	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-initial	s	θ	1	0	[θeku]	Maurer 2013	dry	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-medial	s	θ	1	0	[baθua]	Hagemeijer 2019: 772	broom	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-initial	z							
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-medial	z	ð	0	1	[aða]	Maurer 2013	wing	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-initial	t̠ʃ	θ	0	0	[θavi]	Hagemeijer 2019: 773	key	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-medial	t̠ʃ	θ	0	0	[kaθo]	Araújo 2010: 17	dog	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-initial	ʒ	ð	0	1	[ðuga]	Araújo 2010: 19	to tʱrow	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Fricatives	word-medial	ʒ	ð	0	1	[θuðu]	Maurer 2013	dirty	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Rhotics	word-medial	ɾ	∅	0	0	[baθua]	Hagemeijer 2019: 772	broom	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Rhotics	word-final	ɾ	l	1	0	[delu]	Araújo 2010: 19	money	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Rhotics	word-initial	r	l	1	0	[lemu]	Maurer 2013	oar	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Rhotics	word-medial	r	∅	0	0	[bɛːga]	Hagemeijer 2019: 772	belly	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Laterals	word-initial	l	l	1	1	[laba]	Hagemeijer 2019: 772	to wash	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Laterals	word-medial	l	l	1	1	[kabalu]	Hagemeijer 2019: 772	horse	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Laterals	word-final	l	l	1	1	[θolo]	Maurer 2013	sun	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Laterals	word-medial	ʎ	j	1	0	[fja]	Araújo 2010: 17	leaf	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Nasals	word-initial	m	m	1	1	[masivi]	Ferraz 1979: 104	young man	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Nasals	word-medial	m	m	1	1	[ome]	Maurer 2013	man	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Nasals	word-initial	n	n	1	1	[nɔvu]	Hagemeijer 2019: 768	new	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Nasals	word-medial	n	n	1	1	[θono]	Maurer 2013	sleepiness	
Angolar	Gulf of Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Nasals	word-medial	ɲ	∅	0	0	[relu]	Araújo 2010: 19	money	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	p	p	1	1	[pɛna]	own knowledge (Chiara Truppi)	feather	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	p	p	1	1	[tripa]	own knowledge (Chiara Truppi)	guts	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	b	b	1	1	[bariga]	own knowledge (Chiara Truppi)	belly	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	b	b	1	1	[kabelu]	own knowledge (Chiara Truppi)	hair	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	t	t	1	1	[tudu]	own knowledge (Chiara Truppi)	everything	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	t	t	1	1	[mata]	own knowledge (Chiara Truppi)	to kill	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	d	d	1	1	[dibi]	own knowledge (Chiara Truppi)	to owe	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-medial	d	d	1	1	[tudu]	own knowledge (Chiara Truppi)	everything	
Guinea-Bissau Kriyol	Upper Guinea	Portuguese	1493	1530	Slavery	Kimbundu	Stops	word-initial	k	k	1	1	[kabelu]	own knowledge (Chiara Truppi)	hair	
