Language,Area,Lexifier,FirstMajorSettlement,EndOfInfluence,ContactConditions,LanguageContact,Class,Position,LexifierPhoneme,CreolePhoneme,PlaceStability,MannerStability,Word,Gloss,Source
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Stops,word-medial,g,g,1,1,[bɛga],belly,Hagemeijer2019[772]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-initial,v,v,1,1,[ˈvɛ],old,Hagemeijer2019[768]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-medial,v,b,0,0,[laba],to wash,Hagemeijer2019[772]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-initial,f,f,1,1,[fiju],cold,HagemeijerMaurerZamora2020[310]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-medial,f,NA,NA,NA,NA,NA,NA
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-initial,s,s,1,1,[sũzu],dirty,HagemeijerMaurerZamora2020[320]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-medial,s,t,1,0,[paːtu],bird,HagemeijerMaurerZamora2020[318]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-initial,z,NA,NA,NA,NA,NA,NA
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-medial,z,z,1,1,[aza],wing,HagemeijerMaurerZamora2020[308]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-initial,t̠ʃ,s,0,0,[sela],to smell,HagemeijerMaurerZamora2020[320]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-medial,t̠ʃ,s,0,0,[basu],lower part,HagemeijerMaurerZamora2020[308]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-initial,ʒ,z,0,1,[zũta],next to,HagemeijerMaurerZamora2020[323]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Fricatives,word-medial,ʒ,z,0,1,[sũzu],dirty,HagemeijerMaurerZamora2020[320]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Rhotics,word-medial,ɾ,l,1,0,[sela],to smell,HagemeijerMaurerZamora2020[320]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Rhotics,word-final,ɾ,∅,0,0,[miɛ],woman,HagemeijerMaurerZamora2020[316]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Rhotics,word-initial,r,l,1,0,[labu],tail,Hagemeijer2019[772]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Rhotics,word-medial,r,∅,0,0,[bɛga],belly,Hagemeijer2019[772]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Laterals,word-initial,l,l,1,1,[laba],to wash,Hagemeijer2019[772]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Laterals,word-medial,l,Ø,0,0,[kʰabɛ],hair,HagemeijerMaurerZamora2020[313]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Laterals,word-final,l,∅,0,0,[sɔ],sun,HagemeijerMaurerZamora2020[320]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Laterals,word-medial,ʎ,∅,0,0,[miɛ],woman,HagemeijerMaurerZamora2020[316]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Nasals,word-initial,m,m,1,1,[miɛ],woman,HagemeijerMaurerZamora2020[316]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Nasals,word-medial,m,m,1,1,[namu],name,HagemeijerMaurerZamora2020[316]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Nasals,word-initial,n,n,1,1,[namu],name,HagemeijerMaurerZamora2020[316]
Fa d'Ambô,Gulf of Guinea,Portuguese,1543,1968,Slavery,"Edo, Kikongo",Nasals,word-medial,n,n,1,1,[fiˈnĩ],funnel,Granda1984[27]
